id_subsistema,idhistorico_carga,subsistema,data,valor
5,206035.0,SIN,03/03/2007,48725.8
2,206036.0,Sul,03/03/2007,7784.15
1,206037.0,Sudeste,03/03/2007,30978.09
4,206038.0,Norte,04/03/2007,3184.74
3,206039.0,Nordeste,04/03/2007,6175.31
2,206040.0,Sul,04/03/2007,6710.26
1,206041.0,Sudeste,04/03/2007,27478.15
5,206042.0,SIN,04/03/2007,43548.46000000001
4,206043.0,Norte,05/03/2007,3432.02
3,206044.0,Nordeste,05/03/2007,7032.12
2,206045.0,Sul,05/03/2007,9205.16
1,206046.0,Sudeste,05/03/2007,32964.24
5,206047.0,SIN,05/03/2007,52633.53999999999
4,206048.0,Norte,06/03/2007,3443.86
5,206049.0,SIN,06/03/2007,54190.14
3,206050.0,Nordeste,06/03/2007,7217.52
2,206051.0,Sul,06/03/2007,9501.92
1,206052.0,Sudeste,06/03/2007,34026.84
2,206053.0,Sul,07/03/2007,9705.19
3,206054.0,Nordeste,07/03/2007,7279.76
4,206055.0,Norte,07/03/2007,3433.92
1,206056.0,Sudeste,07/03/2007,34256.75
5,206057.0,SIN,07/03/2007,54675.62
5,206058.0,SIN,08/03/2007,54828.100000000006
3,206059.0,Nordeste,08/03/2007,7332.0
4,206060.0,Norte,08/03/2007,3419.86
2,206061.0,Sul,08/03/2007,9711.44
1,206062.0,Sudeste,08/03/2007,34364.8
1,206063.0,Sudeste,09/03/2007,34375.87
2,206064.0,Sul,09/03/2007,9446.36
3,206065.0,Nordeste,09/03/2007,7298.04
5,206066.0,SIN,09/03/2007,54588.73
4,206067.0,Norte,09/03/2007,3468.46
5,206068.0,SIN,10/03/2007,49533.11
4,206069.0,Norte,10/03/2007,3366.12
3,206070.0,Nordeste,10/03/2007,6895.41
2,206071.0,Sul,10/03/2007,7886.92
1,206072.0,Sudeste,10/03/2007,31384.66
1,206073.0,Sudeste,11/03/2007,28142.12
3,206074.0,Nordeste,11/03/2007,6379.52
2,206075.0,Sul,11/03/2007,6578.97
5,206076.0,SIN,11/03/2007,44286.55
4,206077.0,Norte,11/03/2007,3185.94
5,206078.0,SIN,12/03/2007,52940.39
4,206079.0,Norte,12/03/2007,3419.22
3,206080.0,Nordeste,12/03/2007,7142.6
2,206081.0,Sul,12/03/2007,8876.41
1,206082.0,Sudeste,12/03/2007,33502.16
5,206083.0,SIN,13/03/2007,54187.59
2,206084.0,Sul,13/03/2007,9244.97
4,206085.0,Norte,13/03/2007,3415.7
3,206086.0,Nordeste,13/03/2007,7197.28
1,206087.0,Sudeste,13/03/2007,34329.64
1,206088.0,Sudeste,14/03/2007,34206.11
3,206089.0,Nordeste,14/03/2007,7279.54
2,206090.0,Sul,14/03/2007,9315.74
5,206091.0,SIN,14/03/2007,54262.35
4,206092.0,Norte,14/03/2007,3460.96
4,206093.0,Norte,15/03/2007,3455.36
3,206094.0,Nordeste,15/03/2007,7348.72
2,206095.0,Sul,15/03/2007,9412.79
1,206096.0,Sudeste,15/03/2007,34241.91
5,206097.0,SIN,15/03/2007,54458.780000000006
5,206098.0,SIN,16/03/2007,54524.08
1,206099.0,Sudeste,16/03/2007,34494.56
2,206100.0,Sul,16/03/2007,9283.32
3,206101.0,Nordeste,16/03/2007,7287.34
4,206102.0,Norte,16/03/2007,3458.86
