dt,close,Soma_Volumes,return,position_linear_regression,return_linear_regression,position_ridge_regression,return_ridge_regression,position_logistic_regression,return_logistic_regression,position_lgbm_regression,return_lgbm_regression,position_lgbm_classifier,return_lgbm_classifier,position_xgboost_regression,return_xgboost_regression,position_xgboost_classifier,return_xgboost_classifier,position_gnb,return_gnb,position_random_forest,return_random_forest,position_svc,return_svc,position_linear_svc,return_linear_svc
19/08/19,194,7,0.1940602900094320,1,-0.00143287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20/08/19,193.7222222,9,-0.00143287,1,-0.0037351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22/08/19,193,6,-0.0037351,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
23/08/19,193,2,0,1,-0.005194817,0,0,0,0,0,0,0,0,0,0,1,-0.005194817,0,0,0,0,0,0,0,0
26/08/19,192,5,-0.005194817,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.007318381,0,0,0,0,1,-0.007318381,0,0
27/08/19,190.6,5,-0.007318381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.046170304,0,0
28/08/19,182,10,-0.046170304,1,0.016349138,0,0,1,0.016349138,1,0.016349138,1,0.016349138,1,0.016349138,1,0.016349138,1,0.016349138,1,0.016349138,1,0.016349138,0,0
29/08/19,185,5,0.016349138,0,0,0,0,0,0,1,0.004622504,1,0.004622504,1,0.004622504,1,0.004622504,0,0,1,0.004622504,0,0,0,0
30/08/19,185.8571429,7,0.004622504,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.01287266,0,0,0,0,0,0,0,0
02/09/19,183.48,12.5,-0.01287266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/09/19,182.2142857,7,-0.006922281,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.006686357,0,0,0,0,0,0,0,0
04/09/19,181,1,-0.006686357,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
05/09/19,181,3,0,0,0,0,0,0,0,1,0.067887288,1,0.067887288,1,0.067887288,1,0.067887288,0,0,1,0.067887288,0,0,0,0
06/09/19,193.7142857,21,0.067887288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09/09/19,180,2,-0.073427469,0,0,0,0,0,0,1,0.011049836,1,0.011049836,1,0.011049836,1,0.011049836,0,0,1,0.011049836,0,0,0,0
10/09/19,182,5,0.011049836,0,0,0,0,0,0,1,0.025764137,1,0.025764137,1,0.025764137,1,0.025764137,0,0,1,0.025764137,0,0,0,0
11/09/19,186.75,12,0.025764137,0,0,0,0,0,0,1,-0.00223364,1,-0.00223364,1,-0.00223364,0,0,0,0,0,0,0,0,0,0
12/09/19,186.3333333,6,-0.00223364,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.015286187,0,0,0,0,0,0,0,0
13/09/19,183.5066667,3,-0.015286187,0,0,0,0,0,0,1,0.008104828,1,0.008104828,1,0.008104828,1,0.008104828,0,0,1,0.008104828,0,0,0,0
16/09/19,185,2,0.008104828,0,0,0,0,0,0,0,0,0,0,1,-0.005420067,1,-0.005420067,0,0,0,0,0,0,0,0
17/09/19,184,5,-0.005420067,0,0,0,0,0,0,1,0.007579896,1,0.007579896,1,0.007579896,1,0.007579896,0,0,1,0.007579896,0,0,0,0
18/09/19,185.4,5,0.007579896,0,0,0,0,0,0,1,0.029757775,1,0.029757775,1,0.029757775,1,0.029757775,0,0,1,0.029757775,0,0,0,0
24/09/19,191,6,0.029757775,0,0,0,0,0,0,1,0.016786757,1,0.016786757,1,0.016786757,0,0,0,0,1,0.016786757,0,0,0,0
25/09/19,194.2333333,15,0.016786757,0,0,0,0,0,0,1,-0.001202026,1,-0.001202026,1,-0.001202026,0,0,0,0,0,0,0,0,0,0
26/09/19,194,5,-0.001202026,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
27/09/19,194,5,0,0,0,0,0,0,0,1,0.01534557,1,0.01534557,1,0.01534557,1,0.01534557,0,0,1,0.01534557,0,0,0,0
30/09/19,197,10.5,0.01534557,0,0,0,0,0,0,1,0.005993226,1,0.005993226,1,0.005993226,0,0,0,0,1,0.005993226,0,0,0,0
02/10/19,198.1842105,19,0.005993226,0,0,0,0,0,0,1,0.021542932,1,0.021542932,1,0.021542932,0,0,0,0,1,0.021542932,0,0,0,0
03/10/19,202.5,6,0.021542932,0,0,0,0,0,0,1,0.036367644,1,0.036367644,1,0.036367644,0,0,0,0,1,0.036367644,0,0,0,0
