,datetime,Soma_Volumes,close,M,produto,submercado,expiracao,H,h,h_cresc
442,2022-08-22,10.0,138.5,5,SE CON MEN JAN/23,SE,2023-02-01,128,87,40
443,2022-08-23,19.5,139.10256410256412,5,SE CON MEN JAN/23,SE,2023-02-01,128,86,41
444,2022-08-25,72.0,140.68055555555554,5,SE CON MEN JAN/23,SE,2023-02-01,128,85,42
445,2022-08-29,3.0,133.5,5,SE CON MEN JAN/23,SE,2023-02-01,128,84,43
446,2022-08-31,3.0,135.0,5,SE CON MEN JAN/23,SE,2023-02-01,128,83,44
447,2022-09-01,12.0,131.66666666666666,4,SE CON MEN JAN/23,SE,2023-02-01,128,82,45
448,2022-09-02,23.0,122.43478260869566,4,SE CON MEN JAN/23,SE,2023-02-01,128,81,46
449,2022-09-05,48.0,116.88541666666669,4,SE CON MEN JAN/23,SE,2023-02-01,128,80,47
450,2022-09-06,81.5,117.61656441717793,4,SE CON MEN JAN/23,SE,2023-02-01,128,79,48
451,2022-09-08,3.1,114.83870967741936,4,SE CON MEN JAN/23,SE,2023-02-01,128,78,49
452,2022-09-09,5.0,116.0,4,SE CON MEN JAN/23,SE,2023-02-01,128,77,50
453,2022-09-12,15.0,117.66666666666669,4,SE CON MEN JAN/23,SE,2023-02-01,128,76,51
454,2022-09-13,24.0,115.47916666666669,4,SE CON MEN JAN/23,SE,2023-02-01,128,75,52
455,2022-09-14,23.1,111.29004329004329,4,SE CON MEN JAN/23,SE,2023-02-01,128,74,53
456,2022-09-15,108.2,110.09935304990758,4,SE CON MEN JAN/23,SE,2023-02-01,128,73,54
457,2022-09-16,66.3,111.86274509803924,4,SE CON MEN JAN/23,SE,2023-02-01,128,72,55
458,2022-09-19,172.187,102.6966205346513,4,SE CON MEN JAN/23,SE,2023-02-01,128,71,56
459,2022-09-20,174.0,94.43103448275862,4,SE CON MEN JAN/23,SE,2023-02-01,128,70,57
460,2022-09-21,63.0,92.1547619047619,4,SE CON MEN JAN/23,SE,2023-02-01,128,69,58
461,2022-09-22,17.6,92.6556818181818,4,SE CON MEN JAN/23,SE,2023-02-01,128,68,59
462,2022-09-23,68.0,90.38235294117646,4,SE CON MEN JAN/23,SE,2023-02-01,128,67,60
463,2022-09-26,63.4,90.2466876971609,4,SE CON MEN JAN/23,SE,2023-02-01,128,66,61
464,2022-09-27,83.5,85.12768862275449,4,SE CON MEN JAN/23,SE,2023-02-01,128,65,62
465,2022-09-28,61.5,80.45230894308943,4,SE CON MEN JAN/23,SE,2023-02-01,128,64,63
466,2022-09-29,47.0,78.0563829787234,4,SE CON MEN JAN/23,SE,2023-02-01,128,63,64
467,2022-09-30,56.5,74.58424778761062,4,SE CON MEN JAN/23,SE,2023-02-01,128,62,65
468,2022-10-03,32.0,74.146875,3,SE CON MEN JAN/23,SE,2023-02-01,128,61,66
469,2022-10-04,21.0,74.9047619047619,3,SE CON MEN JAN/23,SE,2023-02-01,128,60,67
470,2022-10-05,129.2,70.12925696594428,3,SE CON MEN JAN/23,SE,2023-02-01,128,59,68
471,2022-10-06,158.5,67.0031545741325,3,SE CON MEN JAN/23,SE,2023-02-01,128,58,69
472,2022-10-07,15.6,68.04807692307692,3,SE CON MEN JAN/23,SE,2023-02-01,128,57,70
473,2022-10-10,12.2,66.67213114754098,3,SE CON MEN JAN/23,SE,2023-02-01,128,56,71
474,2022-10-11,44.5,65.20224719101124,3,SE CON MEN JAN/23,SE,2023-02-01,128,55,72
475,2022-10-13,18.7,63.05347593582887,3,SE CON MEN JAN/23,SE,2023-02-01,128,54,73
476,2022-10-14,0.3,63.0,3,SE CON MEN JAN/23,SE,2023-02-01,128,53,74
477,2022-10-17,13.0,64.25384615384615,3,SE CON MEN JAN/23,SE,2023-02-01,128,52,75
478,2022-10-18,4.0,65.68625,3,SE CON MEN JAN/23,SE,2023-02-01,128,51,76
479,2022-10-19,16.2,66.31666666666666,3,SE CON MEN JAN/23,SE,2023-02-01,128,50,77
480,2022-10-20,4.8,68.0625,3,SE CON MEN JAN/23,SE,2023-02-01,128,49,78
481,2022-10-21,4.0,66.0,3,SE CON MEN JAN/23,SE,2023-02-01,128,48,79
482,2022-10-24,12.0,66.41666666666667,3,SE CON MEN JAN/23,SE,2023-02-01,128,47,80
483,2022-10-25,18.0,66.97222222222223,3,SE CON MEN JAN/23,SE,2023-02-01,128,46,81
484,2022-10-26,87.0,65.03091954022989,3,SE CON MEN JAN/23,SE,2023-02-01,128,45,82
485,2022-10-27,16.0,64.03125,3,SE CON MEN JAN/23,SE,2023-02-01,128,44,83
486,2022-10-28,6.0,64.0,3,SE CON MEN JAN/23,SE,2023-02-01,128,43,84
487,2022-10-31,11.0,63.13636363636363,3,SE CON MEN JAN/23,SE,2023-02-01,128,42,85
488,2022-11-01,29.0,62.4448275862069,2,SE CON MEN JAN/23,SE,2023-02-01,128,41,86
