,produto,submercado,expiracao,data,volume,VWAP,M,H,h,h_cresc
6381,SE CON MEN MAR/16,SE,2016-04-01,2016-02-25,1.5,55.199999999999996,1,26,11,14
397,SE CON MEN ABR/16,SE,2016-05-01,2016-02-26,3.5,55.0,2,18,16,1
6382,SE CON MEN MAR/16,SE,2016-04-01,2016-02-26,4.5,43.94444444444444,1,26,10,15
3033,SE CON MEN FEV/16,SE,2016-03-01,2016-02-29,1.0,35.0,0,20,0,19
6383,SE CON MEN MAR/16,SE,2016-04-01,2016-03-01,1.5,43.0,0,26,9,16
398,SE CON MEN ABR/16,SE,2016-05-01,2016-03-01,1.0,51.0,1,18,15,2
399,SE CON MEN ABR/16,SE,2016-05-01,2016-03-02,4.9,47.59183673469387,1,18,14,3
6384,SE CON MEN MAR/16,SE,2016-04-01,2016-03-02,20.0,41.125,0,26,8,17
6385,SE CON MEN MAR/16,SE,2016-04-01,2016-03-03,1.5,44.0,0,26,7,18
400,SE CON MEN ABR/16,SE,2016-05-01,2016-03-03,0.1,42.99999999999999,1,18,13,4
6386,SE CON MEN MAR/16,SE,2016-04-01,2016-03-07,1.5,49.666666666666664,0,26,6,19
401,SE CON MEN ABR/16,SE,2016-05-01,2016-03-08,2.0,47.0,1,18,12,5
6387,SE CON MEN MAR/16,SE,2016-04-01,2016-03-10,3.4,47.55882352941176,0,26,5,20
6388,SE CON MEN MAR/16,SE,2016-04-01,2016-03-14,2.5,47.6,0,26,4,21
6389,SE CON MEN MAR/16,SE,2016-04-01,2016-03-15,5.0,46.08,0,26,3,22
6390,SE CON MEN MAR/16,SE,2016-04-01,2016-03-16,5.0,45.56,0,26,2,23
402,SE CON MEN ABR/16,SE,2016-05-01,2016-03-17,0.4,42.99999999999999,1,18,11,6
6391,SE CON MEN MAR/16,SE,2016-04-01,2016-03-17,10.0,43.88,0,26,1,24
6392,SE CON MEN MAR/16,SE,2016-04-01,2016-03-22,3.0,41.5,0,26,0,25
403,SE CON MEN ABR/16,SE,2016-05-01,2016-03-28,1.0,48.0,1,18,10,7
404,SE CON MEN ABR/16,SE,2016-05-01,2016-03-29,1.0,52.0,1,18,9,8
405,SE CON MEN ABR/16,SE,2016-05-01,2016-03-30,1.0,53.0,1,18,8,9
406,SE CON MEN ABR/16,SE,2016-05-01,2016-03-31,5.0,54.8,1,18,7,10
407,SE CON MEN ABR/16,SE,2016-05-01,2016-04-01,1.0,52.0,0,18,6,11
408,SE CON MEN ABR/16,SE,2016-05-01,2016-04-05,2.0,54.0,0,18,5,12
409,SE CON MEN ABR/16,SE,2016-05-01,2016-04-08,1.0,58.0,0,18,4,13
5000,SE CON MEN JUN/16,SE,2016-07-01,2016-04-11,1.0,72.0,2,20,19,0
5001,SE CON MEN JUN/16,SE,2016-07-01,2016-04-12,1.0,72.0,2,20,18,1
5742,SE CON MEN MAI/16,SE,2016-06-01,2016-04-12,2.0,80.5,1,13,12,0
5743,SE CON MEN MAI/16,SE,2016-06-01,2016-04-13,6.0,83.75,1,13,11,1
