strat_id,strat_name,dt,BBands_mid_5_2.0,BBands_top_5_2.0,BBands_bot_5_2.0
0,period5_devfactor2.0,2015-07-26,166.7567661299208,177.04957235481464,156.46395990502697
0,period5_devfactor2.0,2015-07-27,164.3963360223939,172.8679212312522,155.9247508135356
0,period5_devfactor2.0,2015-07-28,159.2536854433451,174.74914863362832,143.75822225306186
0,period5_devfactor2.0,2015-07-29,153.67351336961238,172.31722994765252,135.02979679157224
0,period5_devfactor2.0,2015-07-30,148.18866146425756,168.99900884964714,127.37831407886799
0,period5_devfactor2.0,2015-07-31,142.8217045177497,163.33849560334752,122.30491343215189
0,period5_devfactor2.0,2015-08-01,136.38786702846943,147.46139418652018,125.31433987041868
0,period5_devfactor2.0,2015-08-02,133.27854043398884,141.41217828844128,125.1449025795364
0,period5_devfactor2.0,2015-08-03,131.37185537958914,135.86488919056814,126.87882156861012
0,period5_devfactor2.0,2015-08-04,130.82871570278235,133.65111654494223,128.00631486062247
0,period5_devfactor2.0,2015-08-05,131.4321942303897,136.0404118924464,126.82397656833304
0,period5_devfactor2.0,2015-08-06,133.1466044417979,139.41071544401638,126.88249343957942
0,period5_devfactor2.0,2015-08-07,135.01465470800522,141.18192808004852,128.84738133596193
0,period5_devfactor2.0,2015-08-08,136.94605108259606,142.33844072450233,131.55366144068978
0,period5_devfactor2.0,2015-08-09,138.80113318210402,143.1571314466596,134.44513491754844
0,period5_devfactor2.0,2015-08-10,140.62002488717312,145.33594274482218,135.90410702952406
0,period5_devfactor2.0,2015-08-11,142.30512208657967,147.85885623144995,136.7513879417094
0,period5_devfactor2.0,2015-08-12,144.69527531238612,151.95786072472785,137.43268990004438
0,period5_devfactor2.0,2015-08-13,147.87469509227768,157.9189111966394,137.83047898791594
0,period5_devfactor2.0,2015-08-14,151.15955831808412,161.86923896860176,140.44987766756648
0,period5_devfactor2.0,2015-08-15,154.65182790333756,165.75495085571163,143.5487049509635
0,period5_devfactor2.0,2015-08-16,158.3994375516956,168.29914170443573,148.49973339895547
0,period5_devfactor2.0,2015-08-17,161.9201799502139,170.70916551515958,153.13119438526823
0,period5_devfactor2.0,2015-08-18,164.3790319709114,172.12561823131173,156.63244571051106
0,period5_devfactor2.0,2015-08-19,166.69017566592603,172.36825953391815,161.01209179793392
0,period5_devfactor2.0,2015-08-20,168.77500678547062,173.5308073546709,164.01920621627033
0,period5_devfactor2.0,2015-08-21,170.69829403585464,175.64934773772532,165.74724033398397
0,period5_devfactor2.0,2015-08-22,172.27895431946757,178.04169434563477,166.51621429330038
0,period5_devfactor2.0,2015-08-23,174.30493419678984,180.33362852810367,168.27623986547601
0,period5_devfactor2.0,2015-08-24,177.05109862190866,184.6845430625741,169.41765418124322
0,period5_devfactor2.0,2015-08-25,180.38782031703835,190.94203202712276,169.83360860695393
0,period5_devfactor2.0,2015-08-26,184.37675449644897,197.92114793193923,170.8323610609587
0,period5_devfactor2.0,2015-08-27,189.63156862607948,206.3196953145796,172.94344193757937
0,period5_devfactor2.0,2015-08-28,196.08392607184518,215.38734268954016,176.7805094541502
0,period5_devfactor2.0,2015-08-29,202.6271834162079,222.6545764116935,182.59979042072231
0,period5_devfactor2.0,2015-08-30,210.3931428929756,233.25405245667284,187.53223332927834
0,period5_devfactor2.0,2015-08-31,218.96778010328435,243.79760957540805,194.13795063116066
0,period5_devfactor2.0,2015-09-01,227.97380639030902,254.82013773902256,201.1274750415955
0,period5_devfactor2.0,2015-09-02,235.4046037322686,259.5706162795319,211.2385911850053
0,period5_devfactor2.0,2015-09-03,241.39011111014938,256.89442807745,225.8857941428487
0,period5_devfactor2.0,2015-09-04,244.96001718193594,252.60753895456887,237.312495409303
0,period5_devfactor2.0,2015-09-05,246.04592749324803,249.57042663904258,242.52142834745348
0,period5_devfactor2.0,2015-09-06,243.70221707746055,252.32299977130518,235.0814343836159
0,period5_devfactor2.0,2015-09-07,239.9339560853767,253.08589693171535,226.78201523903806
0,period5_devfactor2.0,2015-09-08,235.41247105661978,251.9640699528876,218.86087216035196
0,period5_devfactor2.0,2015-09-09,229.53923190486086,248.00719974411655,211.07126406560516
0,period5_devfactor2.0,2015-09-10,224.28125400916377,239.13897745988956,209.423530558438
0,period5_devfactor2.0,2015-09-11,216.26369784580498,238.9787467904292,193.54864890118077
0,period5_devfactor2.0,2015-09-12,209.31263971346112,233.2680138323872,185.35726559453505
0,period5_devfactor2.0,2015-09-13,203.1435357708088,225.02413193867494,181.26293960294265
0,period5_devfactor2.0,2015-09-14,197.85971885161686,217.00665440107505,178.71278330215867
0,period5_devfactor2.0,2015-09-15,191.82205619564542,198.4132719274931,185.23084046379773
0,period5_devfactor2.0,2015-09-16,189.63813612761822,196.93873717861993,182.33753507661652
0,period5_devfactor2.0,2015-09-17,187.67684143046222,194.0492748494998,181.30440801142464
0,period5_devfactor2.0,2015-09-18,185.89500197225513,190.29313915376295,181.4968647907473
0,period5_devfactor2.0,2015-09-19,184.5392252406534,186.73527890497837,182.34317157632842
0,period5_devfactor2.0,2015-09-20,183.6939777085371,185.54311449324163,181.84484092383255
0,period5_devfactor2.0,2015-09-21,183.20839983968463,185.01383179358155,181.40296788578772
0,period5_devfactor2.0,2015-09-22,185.21911630554808,194.69214999290082,175.74608261819535
