,dt,type_x,price_x,size_x,order_value_x,portfolio_value_x,pnl_x,type_y,price_y,size_y,order_value_y,portfolio_value_y,pnl_y,type_x,price_x,size_x,order_value_x,portfolio_value_x,pnl_x,type_y,price_y,size_y,order_value_y,portfolio_value_y,pnl_y,type,price,size,order_value,portfolio_value,pnl
186,2022-02-17,,,,,,,,,,,,,sell,203.16666666666663,-2205896.0,388076595.8000001,448164597.59899086,60087941.53333327,,,,,,,sell,203.16666666666663,-154500.0,28250780.06302521,31389312.07152014,3138469.936974789
187,2022-03-08,,,,,,,,,,,,,buy,194.0,2307818.0,447716692.0,486890909.4038689,0.0,,,,,,,,,,,,
188,2022-03-14,,,,,,,,,,,,,sell,228.0,-2307818.0,447716692.0,526630409.59899086,78465812.0,,,,,,,,,,,,
189,2022-03-15,,,,,,,,,,,,,buy,159.75,3293297.0,526104195.75,757984523.8489909,0.0,,,,,,,buy,159.75,196293.0,31357806.75,45178895.321520135,0.0
190,2022-03-28,,,,,,,,,,,,,sell,212.14285714285717,-3293297.0,526104195.75,699175648.8489909,172545239.25,,,,,,,,,,,,
191,2022-03-31,,,,,,,,,,,,,buy,169.0,4133001.0,698477169.0,836691863.9399,0.0,,,,,,,buy,169.0,267063.0,45133647.0,54064809.6851565,0.0
192,2022-04-06,,,,,,,,,,,,,sell,210.57142857142856,-4133001.0,698477169.0,870990404.7061338,171814755.8571429,,,,,,,,,,,,
193,2022-04-11,,,,,,,,,,,,,buy,196.09459459459455,4437247.0,870120151.581081,786357381.6356912,0.0,,,,,,,,,,,,
194,2022-04-19,,,,,,,,,,,,,sell,199.4,-4442163.0,870990288.0704427,885767418.8356912,14777014.129557392,,,,,,,,,,,,
195,2022-04-22,,,,,,,,,,,,,buy,177.6140350877193,4982052.0,884882358.736842,972385200.0988492,0.0,,,,,,,,,,,,
196,2022-04-29,,,,,,,,,,,,,buy,170.14465408805032,5196.0,884071.6226415094,916738595.3333504,0.0,,,,,,,,,,,,
197,2022-05-05,,,,,,,,,,,,,sell,193.9642857142857,-4987248.0,885766430.3594836,967348984.4762076,81581565.64051645,,,,,,,,,,,,
